audio,label
-10,1
-18,1
-18,1
-22,1
-21,1
-25,1
-27,1
-24,1
-18,1
-20,1
-22,1
-18,1
-20,1
-19,1
-16,1
-19,1
-15,1
-15,1
-11,1
-11,1
-10,1
-5,1
-2,1
-2,1
4,1
1,1
2,1
2,1
2,1
1,1
1,1
6,1
4,1
9,1
8,1
12,1
18,1
13,1
16,1
10,1
5,1
6,1
3,1
7,1
7,1
4,1
10,1
9,1
7,1
0,1
5,1
8,1
4,1
9,1
11,1
11,1
13,1
11,1
6,1
15,1
17,1
19,1
18,1
22,1
25,1
25,1
24,1
23,1
26,1
26,1
26,1
27,1
26,1
29,1
34,1
36,1
37,1
35,1
29,1
33,1
33,1
33,1
32,1
33,1
27,1
32,1
29,1
25,1
27,1
26,1
20,1
24,1
19,1
21,1
19,1
18,1
22,1
24,1
20,1
15,1
15,1
16,1
19,1
17,1
16,1
22,1
29,1
31,1
28,1
32,1
27,1
24,1
27,1
27,1
31,1
29,1
29,1
31,1
34,1
36,1
36,1
34,1
33,1
31,1
27,1
24,1
21,1
23,1
19,1
19,1
25,1
25,1
26,1
24,1
24,1
23,1
18,1
17,1
18,1
23,1
21,1
18,1
21,1
15,1
19,1
20,1
21,1
21,1
23,1
25,1
29,1
31,1
31,1
24,1
19,1
11,1
4,1
4,1
8,1
10,1
10,1
11,1
7,1
4,1
2,1
3,1
3,1
-1,1
-5,1
-11,1
-20,1
-24,1
-31,1
-45,1
-56,1
-68,1
-70,1
-65,1
-71,1
-72,1
-73,1
-71,1
-73,1
-76,1
-77,1
-72,1
-71,1
-67,1
-62,1
-54,1
-51,1
-44,1
-33,1
-23,1
-13,1
-6,1
1,1
3,1
4,1
9,1
12,1
12,1
16,1
18,1
18,1
17,1
20,1
16,1
18,1
20,1
14,1
18,1
21,1
20,1
20,1
18,1
19,1
23,1
12,1
14,1
17,1
21,1
28,1
33,1
34,1
28,1
23,1
20,1
16,1
10,1
19,1
24,1
22,1
19,1
11,1
8,1
-1,1
-10,1
-8,1
-12,1
-16,1
-14,1
-7,1
5,1
9,1
12,1
9,1
10,1
6,1
7,1
2,1
1,1
2,1
11,1
21,1
30,1
38,1
47,1
50,1
48,1
44,1
40,1
35,1
35,1
24,1
23,1
19,1
17,1
11,1
9,1
4,1
-5,1
-14,1
-23,1
-30,1
-40,1
-42,1
-41,1
-47,1
-52,1
-58,1
-64,1
-68,1
-70,1
-72,1
-71,1
-68,1
-65,1
-53,1
-45,1
38,1
53,1
56,1
54,1
50,1
49,1
52,1
52,1
49,1
43,1
32,1
25,1
23,1
26,1
32,1
37,1
32,1
33,1
25,1
20,1
19,1
22,1
22,1
20,1
9,1
7,1
5,1
6,1
0,1
-2,1
-6,1
-13,1
-11,1
-11,1
-3,1
8,1
22,1
29,1
29,1
39,1
38,1
33,1
41,1
41,1
40,1
38,1
22,1
12,1
17,1
11,1
10,1
14,1
12,1
8,1
6,1
9,1
19,1
21,1
18,1
16,1
20,1
33,1
38,1
40,1
45,1
48,1
47,1
53,1
64,1
67,1
62,1
58,1
58,1
69,1
75,1
76,1
79,1
79,1
79,1
78,1
79,1
81,1
72,1
68,1
57,1
52,1
51,1
48,1
42,1
35,1
24,1
20,1
23,1
25,1
28,1
19,1
11,1
3,1
1,1
2,1
0,1
-1,1
-10,1
-18,1
-22,1
-20,1
3,1
17,1
28,1
33,1
33,1
31,1
25,1
27,1
36,1
36,1
41,1
36,1
35,1
39,1
36,1
35,1
31,1
21,1
18,1
16,1
17,1
22,1
22,1
20,1
12,1
-4,1
-10,1
-11,1
-14,1
-18,1
-27,1
-34,1
-40,1
-37,1
-35,1
-36,1
-23,1
-20,1
-27,1
-31,1
-12,1
8,1
14,1
13,1
10,1
9,1
9,1
17,1
18,1
15,1
10,1
6,1
0,1
-5,1
-5,1
-9,1
-16,1
-20,1
-25,1
-26,1
-17,1
-9,1
2,1
-4,1
-2,1
6,1
19,1
30,1
50,1
63,1
-14,1
-14,1
-13,1
-11,1
-6,1
-6,1
-6,1
-11,1
-12,1
-5,1
4,1
5,1
1,1
-1,1
1,1
0,1
0,1
7,1
5,1
-2,1
-12,1
-15,1
-15,1
-16,1
-15,1
-11,1
-13,1
-14,1
-6,1
-1,1
8,1
16,1
21,1
25,1
32,1
36,1
38,1
42,1
43,1
51,1
53,1
60,1
62,1
61,1
66,1
66,1
62,1
62,1
61,1
60,1
64,1
62,1
59,1
60,1
53,1
53,1
57,1
57,1
55,1
46,1
49,1
41,1
39,1
39,1
36,1
27,1
23,1
20,1
13,1
10,1
4,1
-7,1
-18,1
5,1
15,1
23,1
25,1
24,1
22,1
25,1
20,1
23,1
24,1
28,1
26,1
25,1
21,1
22,1
23,1
21,1
23,1
17,1
13,1
4,1
3,1
2,1
8,1
11,1
11,1
11,1
8,1
4,1
0,1
-4,1
-12,1
-16,1
-18,1
-22,1
-26,1
-30,1
-34,1
-33,1
-37,1
-36,1
-36,1
-31,1
-36,1
-39,1
-39,1
-40,1
-39,1
-41,1
-41,1
-40,1
-43,1
-51,1
-48,1
-43,1
-44,1
-47,1
-54,1
-52,1
-51,1
-56,1
-55,1
-56,1
-57,1
-60,1
-57,1
-45,1
-38,1
-32,1
-26,1
-24,1
-20,1
-13,1
-3,1
2,1
5,1
8,1
3,1
6,1
6,1
7,1
11,1
9,1
7,1
5,1
6,1
6,1
1,1
-3,1
2,1
3,1
5,1
8,1
5,1
4,1
2,1
2,1
1,1
2,1
-3,1
-1,1
-60,1
-61,1
-61,1
-55,1
-55,1
-53,1
-47,1
-41,1
-39,1
-35,1
-32,1
-28,1
-29,1
-34,1
-30,1
-35,1
-27,1
-25,1
-28,1
-20,1
-20,1
-20,1
-11,1
-12,1
-16,1
-16,1
-22,1
-19,1
-17,1
-11,1
-6,1
-7,1
-3,1
0,1
3,1
5,1
3,1
1,1
0,1
1,1
-4,1
